iid,sub_class,model,n_turns,n_turns_extracted,tool_entropy_last10,n_tools_last10
pallets__markupsafe.620c06c9.lm_rewrite__o5b5ezbl,wandering,gpt-5-router,12,11,2.1709505944546685,10
pallets__markupsafe.620c06c9.func_basic__sala7a01,locked,gpt-5-router,7,7,2.2359263506290326,7
pallets__markupsafe.620c06c9.func_basic__x6jx7k0l,locked,gpt-5-router,12,12,2.6464393446710153,10
pallets__markupsafe.620c06c9.func_basic__65ioun6w,locked,gpt-5-router,6,6,2.2516291673878226,6
pallets__markupsafe.620c06c9.combine_module__y1pg0riq,locked,gpt-5-router,12,12,2.3709505944546683,10
pallets__markupsafe.620c06c9.func_pm_class_rm_funcs__xlt7oyaj,locked,gpt-5-router,10,10,2.4464393446710155,10
pallets__jinja.ada0a9a6.lm_rewrite__5vrfvoxt,success,gpt-5-router,13,13,2.446439344671015,10
pallets__markupsafe.620c06c9.combine_file__ccc15c5c,locked,gpt-5-router,9,9,2.113283334294875,9
pallets__markupsafe.620c06c9.combine_module__1ltcsjob,locked,gpt-5-router,7,7,2.2359263506290326,7
pallets__jinja.ada0a9a6.func_pm_ctrl_invert_if__cguh6h4z,success,gpt-5-router,6,5,1.9219280948873623,5
pallets__jinja.ada0a9a6.func_basic__bjy5d574,success,gpt-5-router,10,10,2.321928094887362,10
pallets__jinja.ada0a9a6.func_basic__lqwcyud1,locked,gpt-5-router,7,7,2.5216406363433186,7
pallets__jinja.ada0a9a6.func_pm_ctrl_invert_if__razm485k,success,gpt-5-router,9,7,2.2359263506290326,7
pallets__jinja.ada0a9a6.combine_file__fxc3w4sn,success,gpt-5-router,9,9,2.5032583347756456,9
pallets__jinja.ada0a9a6.combine_file__6c0i91ft,locked,gpt-5-router,15,15,0.4689955935892812,10
pallets__click.fde47b4b.func_pm_ctrl_shuffle__n6s33khc,locked,gpt-5-router,15,15,0.4689955935892812,10
pallets__jinja.ada0a9a6.func_basic__yhdvs4o8,success,gpt-5-router,12,12,2.1709505944546685,10
pallets__jinja.ada0a9a6.combine_file__yjwp1l4i,locked,gpt-5-router,16,16,1.3609640474436813,10
pallets__jinja.ada0a9a6.func_basic__f5cdmizn,locked,gpt-5-router,17,17,2.0464393446710156,10
pallets__jinja.ada0a9a6.func_basic__bnwsv86w,success,gpt-5-router,12,12,2.3709505944546687,10
pallets__click.fde47b4b.func_basic__8ec1b8f8,locked,gpt-5-router,10,10,2.046439344671015,10
pallets__click.fde47b4b.func_basic__c8b84606,success,gpt-5-router,7,7,2.5216406363433186,7
pallets__click.fde47b4b.func_basic__f5607c70,success,gpt-5-router,8,8,2.1556390622295662,8
pallets__click.fde47b4b.func_pm_ctrl_invert_if__u9azep5m,locked,gpt-5-router,13,13,1.3567796494470397,10
pallets__click.fde47b4b.func_basic__f9e6ba2e,success,gpt-5-router,10,10,2.3709505944546687,10
pallets__click.fde47b4b.func_basic__c45f5db0,success,gpt-5-router,8,7,1.8423709931771088,7
pallets__click.fde47b4b.func_basic__8840cb7c,success,gpt-5-router,9,9,1.8799649487271108,9
pallets__click.fde47b4b.func_pm_ctrl_invert_if__fc53sbc4,locked,gpt-5-router,11,11,0.7219280948873623,10
pallets__click.fde47b4b.func_basic__67b198bc,success,gpt-5-router,7,7,2.807354922057604,7
pallets__click.fde47b4b.func_basic__2e9227f6,success,gpt-5-router,7,7,2.807354922057604,7
oauthlib__oauthlib.1fd52536.func_basic__uqy2evrq,success,gpt-5-router,19,19,2.0464393446710156,10
oauthlib__oauthlib.1fd52536.combine_module__oq5a6syn,success,gpt-5-router,11,11,1.8464393446710154,10
oauthlib__oauthlib.1fd52536.func_basic__hmvq1hd0,locked,gpt-5-router,9,9,2.113283334294875,9
oauthlib__oauthlib.1fd52536.func_pm_ctrl_invert_if__3d0flqnt,success,gpt-5-router,8,8,2.4056390622295662,8
oauthlib__oauthlib.1fd52536.func_basic__h5jc6yal,locked,gpt-5-router,6,6,0.6500224216483541,6
oauthlib__oauthlib.1fd52536.func_basic__zasev90x,success,gpt-5-router,14,14,2.663532754804255,11
oauthlib__oauthlib.1fd52536.func_basic__kxiyequq,success,gpt-5-router,19,19,2.446439344671015,10
oauthlib__oauthlib.1fd52536.combine_file__bhkj2izg,success,gpt-5-router,9,9,2.5032583347756456,9
oauthlib__oauthlib.1fd52536.combine_module__ky83ywrp,wandering,gpt-5-router,22,22,1.9609640474436814,10
oauthlib__oauthlib.1fd52536.combine_file__y98hatxi,success,gpt-5-router,5,5,2.321928094887362,5
oauthlib__oauthlib.1fd52536.combine_file__8mcd2b7a,locked,gpt-5-router,9,9,2.0588138903312014,9
msiemens__tinydb.10644a0e.func_pm_ctrl_shuffle__oxrpznit,success,gpt-5-router,7,7,2.2359263506290326,7
msiemens__tinydb.10644a0e.func_basic__ynvpcdlv,success,gpt-5-router,7,6,1.7924812503605778,6
msiemens__tinydb.10644a0e.func_basic__evhn99ri,success,gpt-5-router,8,8,2.4056390622295662,8
msiemens__tinydb.10644a0e.func_basic__f9cw65i9,success,gpt-5-router,12,11,2.121928094887362,10
msiemens__tinydb.10644a0e.func_basic__e5irx6j5,success,gpt-5-router,8,8,2.1556390622295662,8
msiemens__tinydb.10644a0e.func_basic__doetzcjc,success,gpt-5-router,16,16,2.446439344671015,10
msiemens__tinydb.10644a0e.func_basic__fg8psbzc,success,gpt-5-router,11,11,2.3709505944546687,10
msiemens__tinydb.10644a0e.combine_file__5n0lgdym,success,gpt-5-router,11,11,2.6464393446710153,10
msiemens__tinydb.10644a0e.func_basic__yf95yn3a,success,gpt-5-router,8,8,2.25,8
msiemens__tinydb.10644a0e.combine_file__0176isok,locked,gpt-5-router,6,6,2.584962500721156,6
mozillazg__python-pinyin.e42dede5.func_pm_ctrl_invert_if__j533auxe,success,gpt-5-router,12,12,1.6854752972273346,10
mozillazg__python-pinyin.e42dede5.func_pm_ctrl_invert_if__mbd8duac,success,gpt-5-router,8,8,2.4056390622295662,8
mozillazg__python-pinyin.e42dede5.func_pm_remove_assign__cdinlerj,success,gpt-5-router,6,6,2.251629167387823,6
mozillazg__python-pinyin.e42dede5.func_basic__b0il375q,locked,gpt-5-router,9,9,2.197159723424149,9
mozillazg__python-pinyin.e42dede5.combine_module__vo5jfsei,wandering,gpt-5-router,18,18,1.295461844238322,10
mozillazg__python-pinyin.e42dede5.combine_module__urgx55vr,wandering,gpt-5-router,11,11,1.895461844238322,10
mozillazg__python-pinyin.e42dede5.func_basic__8tbuisi2,locked,gpt-5-router,16,16,2.1709505944546685,10
mozillazg__python-pinyin.e42dede5.combine_module__j4l38bcj,locked,gpt-5-router,19,19,1.7709505944546688,10
mozilla__bleach.73871d76.func_pm_remove_loop__ikocb1jw,locked,gpt-5-router,10,10,0.9219280948873623,10
mozillazg__python-pinyin.e42dede5.combine_module__07uge1kf,wandering,gpt-5-router,18,18,-0.0,10
mozillazg__python-pinyin.e42dede5.combine_module__0wz1davy,wandering,gpt-5-router,17,17,0.9219280948873623,10
mozilla__bleach.73871d76.combine_module__v9og1k55,wandering,gpt-5-router,24,23,0.8812908992306927,10
mozillazg__python-pinyin.e42dede5.combine_file__drwkft56,locked,gpt-5-router,10,10,1.3567796494470397,10
mozilla__bleach.73871d76.combine_module__bxo72cum,locked,gpt-5-router,7,6,2.2516291673878226,6
mozilla__bleach.73871d76.combine_module__u70es7f2,locked,gpt-5-router,11,10,2.046439344671015,10
mozilla__bleach.73871d76.func_basic__vmbxbq54,success,gpt-5-router,14,14,2.1219280948873624,10
modin-project__modin.8c7799fd.func_pm_remove_cond__kqk4x2nk,success,gpt-5-router,19,19,2.0464393446710156,10
mozilla__bleach.73871d76.func_pm_class_rm_funcs__z00qrfja,success,gpt-5-router,22,22,1.8464393446710154,10
modin-project__modin.8c7799fd.lm_rewrite__0gkb7fiz,success,gpt-5-router,15,15,1.8464393446710154,10
modin-project__modin.8c7799fd.combine_file__uag0idai,locked,gpt-5-router,12,12,1.3609640474436813,10
mozilla__bleach.73871d76.pr_694,success,gpt-5-router,15,15,1.7709505944546688,10
mozilla__bleach.73871d76.combine_module__a7y0letb,locked,gpt-5-router,8,8,2.75,8
modin-project__modin.8c7799fd.func_pm_op_change__wpkjcf2d,success,gpt-5-router,11,11,2.046439344671015,10
mozilla__bleach.73871d76.combine_file__dwwcrzlf,wandering,gpt-5-router,26,26,0.8812908992306927,10
mozilla__bleach.73871d76.combine_module__kpcfxyok,success,gpt-5-router,20,20,1.6171895725927152,11
modin-project__modin.8c7799fd.func_pm_remove_cond__calssjoc,success,gpt-5-router,13,13,1.7219280948873623,10
mozilla__bleach.73871d76.combine_file__wq2gkl3q,wandering,gpt-5-router,27,27,0.9219280948873623,10
mido__mido.a0158ff9.func_pm_remove_assign__dkj69rqy,success,gpt-5-router,10,10,2.0464393446710156,10
modin-project__modin.8c7799fd.func_pm_op_swap__elgpu9fd,success,gpt-5-router,16,16,2.3709505944546683,10
modin-project__modin.8c7799fd.combine_file__g8vcmii4,wandering,gpt-5-router,11,11,1.360964047443681,10
mido__mido.a0158ff9.func_basic__ngb0w9ys,success,gpt-5-router,5,5,1.9219280948873623,5
mido__mido.a0158ff9.combine_module__sedqqqfh,locked,gpt-5-router,10,10,2.4464393446710155,10
mido__mido.a0158ff9.combine_module__2v17vnx4,locked,gpt-5-router,11,11,0.4689955935892812,10
mido__mido.a0158ff9.func_basic__8twcuc2o,success,gpt-5-router,8,8,2.75,8
mido__mido.a0158ff9.func_basic__mbf93fx4,success,gpt-5-router,17,17,2.0464393446710156,10
mido__mido.a0158ff9.combine_module__q9t40slz,locked,gpt-5-router,8,8,1.2987949406953985,8
mido__mido.a0158ff9.combine_file__lhvq9d26,success,gpt-5-router,6,6,2.584962500721156,6
mido__mido.a0158ff9.combine_file__nrlgj2rp,locked,gpt-5-router,11,11,1.1567796494470395,10
mido__mido.a0158ff9.combine_file__5oku0cmx,locked,gpt-5-router,11,11,0.9219280948873623,10
mewwts__addict.75284f95.func_pm_class_rm_funcs__xeazy3ma,success,gpt-5-router,14,14,1.7609640474436812,10
mewwts__addict.75284f95.func_basic__lfaczs5w,success,gpt-5-router,7,7,2.2359263506290326,7
mewwts__addict.75284f95.func_pm_ctrl_shuffle__arrncnvr,success,gpt-5-router,9,9,2.197159723424149,9
mewwts__addict.75284f95.func_basic__e4m4u8rc,success,gpt-5-router,8,8,1.9056390622295665,8
mewwts__addict.75284f95.func_pm_ctrl_invert_if__1bxgjdlm,success,gpt-5-router,11,11,1.6171895725927152,11
mewwts__addict.75284f95.func_basic__ide4hfpv,success,gpt-5-router,7,7,1.8423709931771086,7
mewwts__addict.75284f95.func_basic__nvasfe78,success,gpt-5-router,7,7,2.2359263506290326,7
matthewwithanm__python-markdownify.6258f5c3.func_pm_remove_loop__r6m5u2xv,success,gpt-5-router,10,10,2.121928094887362,10
matthewwithanm__python-markdownify.6258f5c3.lm_rewrite__1g6ypoq1,success,gpt-5-router,11,11,1.7709505944546688,10
matthewwithanm__python-markdownify.6258f5c3.lm_rewrite__lt9yco23,wandering,gpt-5-router,18,18,2.1258145836939115,12
mewwts__addict.75284f95.func_basic__u31z0ln1,success,gpt-5-router,11,11,2.046439344671015,10
mewwts__addict.75284f95.func_basic__46pugudf,success,gpt-5-router,9,9,2.4193819456463714,9
mewwts__addict.75284f95.func_basic__9sg9rq7f,success,gpt-5-router,6,6,1.9182958340544893,6
matthewwithanm__python-markdownify.6258f5c3.func_pm_ctrl_shuffle__nimrsiqc,success,gpt-5-router,11,11,1.1567796494470395,10
matthewwithanm__python-markdownify.6258f5c3.func_basic__tzhqi5qz,success,gpt-5-router,11,11,1.5709505944546687,10
matthewwithanm__python-markdownify.6258f5c3.func_pm_ctrl_shuffle__lj5l0b2x,success,gpt-5-router,9,9,2.4193819456463714,9
matthewwithanm__python-markdownify.6258f5c3.func_basic__h3sezprz,locked,gpt-5-router,19,18,1.1567796494470395,10
matthewwithanm__python-markdownify.6258f5c3.lm_rewrite__7w02cnfp,success,gpt-5-router,15,15,2.121928094887362,10
matthewwithanm__python-markdownify.6258f5c3.func_basic__bpujcnal,success,gpt-5-router,10,9,2.058813890331201,9
matthewwithanm__python-markdownify.6258f5c3.func_basic__8soyw1n2,locked,gpt-5-router,10,10,2.446439344671015,10
martinblech__xmltodict.0952f382.func_pm_remove_cond__qc5atj8q,success,gpt-5-router,6,6,1.9182958340544893,6
martinblech__xmltodict.0952f382.lm_rewrite__uvsavy52,success,gpt-5-router,12,12,1.4949188482339508,11
matthewwithanm__python-markdownify.6258f5c3.func_basic__7iv11a87,success,gpt-5-router,8,8,2.5,8
martinblech__xmltodict.0952f382.lm_rewrite__utqr5qya,wandering,gpt-5-router,19,19,0.6840384356390417,11
martinblech__xmltodict.0952f382.func_pm_remove_assign__fvbbpeqo,success,gpt-5-router,7,7,2.2359263506290326,7
martinblech__xmltodict.0952f382.lm_rewrite__zhkcqkd3,success,gpt-5-router,14,14,2.1709505944546685,10
martinblech__xmltodict.0952f382.func_basic__yeirk6gu,locked,gpt-5-router,13,13,1.8464393446710154,10
martinblech__xmltodict.0952f382.func_basic__ydtcs2nb,success,gpt-5-router,10,10,2.321928094887362,10
martinblech__xmltodict.0952f382.lm_rewrite__ipvvco8k,success,gpt-5-router,8,8,2.5,8
martinblech__xmltodict.0952f382.func_basic__ss5ts3uo,locked,gpt-5-router,7,7,2.5216406363433186,7
martinblech__xmltodict.0952f382.func_basic__dku37w13,locked,gpt-5-router,7,7,1.1488348542809166,7
marshmallow-code__webargs.dbde72fe.func_basic__bry5d1dm,wandering,gpt-5-router,25,24,1.5219280948873621,10
martinblech__xmltodict.0952f382.combine_file__fonimf13,locked,gpt-5-router,14,14,1.5709505944546687,10
marshmallow-code__webargs.dbde72fe.func_basic__ccjvcxer,success,gpt-5-router,11,11,2.4464393446710155,10
marshmallow-code__webargs.dbde72fe.func_basic__24h8gxtv,success,gpt-5-router,8,8,2.1556390622295662,8
marshmallow-code__webargs.dbde72fe.func_pm_ctrl_shuffle__fd8s3l36,success,gpt-5-router,6,6,2.251629167387823,6
marshmallow-code__webargs.dbde72fe.func_basic__rdbokcad,locked,gpt-5-router,5,5,2.321928094887362,5
marshmallow-code__webargs.dbde72fe.combine_file__kb8j7zw5,success,gpt-5-router,11,11,2.321928094887362,10
marshmallow-code__webargs.dbde72fe.func_pm_ctrl_shuffle__ys88lw6a,success,gpt-5-router,10,10,2.7219280948873625,10
marshmallow-code__webargs.dbde72fe.combine_file__ie8o94m8,locked,gpt-5-router,8,8,1.2987949406953985,8
marshmallow-code__webargs.dbde72fe.combine_file__azy6gl0o,success,gpt-5-router,15,15,1.9609640474436814,10
marshmallow-code__webargs.dbde72fe.combine_file__o22ns4tj,locked,gpt-5-router,14,14,2.046439344671015,10
marshmallow-code__webargs.dbde72fe.combine_file__0xhn3aaa,success,gpt-5-router,9,9,2.4193819456463714,9
marshmallow-code__marshmallow.9716fc62.func_basic__z3csqjhj,locked,gpt-5-router,11,11,2.446439344671015,10
marshmallow-code__marshmallow.9716fc62.func_basic__yxlmzodj,success,gpt-5-router,7,7,2.5216406363433186,7
marshmallow-code__marshmallow.9716fc62.func_basic__hx8gx3h9,success,gpt-5-router,10,10,1.9609640474436814,10
marshmallow-code__marshmallow.9716fc62.func_pm_ctrl_shuffle__rx0awm0y,success,gpt-5-router,9,8,2.5,8
marshmallow-code__marshmallow.9716fc62.func_pm_ctrl_shuffle__wwnqb4xv,locked,gpt-5-router,10,10,0.4689955935892812,10
marshmallow-code__marshmallow.9716fc62.func_basic__ld5frdqi,locked,gpt-5-router,7,7,2.2359263506290326,7
marshmallow-code__marshmallow.9716fc62.func_basic__gnij0ggf,success,gpt-5-router,9,9,2.4193819456463714,9
marshmallow-code__marshmallow.9716fc62.func_basic__e9a29409,locked,gpt-5-router,8,8,2.1556390622295662,8
marshmallow-code__marshmallow.9716fc62.combine_module__1wlcf7hj,locked,gpt-5-router,5,5,2.321928094887362,5
marshmallow-code__marshmallow.9716fc62.func_basic__oou5e48o,success,gpt-5-router,18,18,2.3709505944546683,10
marshmallow-code__marshmallow.9716fc62.combine_file__0prhse85,locked,gpt-5-router,12,12,2.321928094887362,10
marshmallow-code__apispec.8b421526.lm_rewrite__athquo0l,locked,gpt-5-router,5,5,2.321928094887362,5
marshmallow-code__apispec.8b421526.func_pm_remove_assign__n022ulu6,success,gpt-5-router,6,6,2.2516291673878226,6
marshmallow-code__apispec.8b421526.func_pm_ctrl_shuffle__uwlnldkw,success,gpt-5-router,6,6,2.584962500721156,6
marshmallow-code__apispec.8b421526.func_pm_class_rm_base__y52367jh,success,gpt-5-router,6,6,2.2516291673878226,6
marshmallow-code__apispec.8b421526.func_basic__t4pady2k,success,gpt-5-router,8,8,2.4056390622295662,8
marshmallow-code__apispec.8b421526.func_pm_ctrl_invert_if__sfjed7bx,locked,gpt-5-router,11,11,1.9609640474436814,10
marshmallow-code__apispec.8b421526.func_basic__6br2weh8,success,gpt-5-router,14,14,2.121928094887362,10
marshmallow-code__apispec.8b421526.func_basic__51tvllvm,success,gpt-5-router,9,9,2.725480556997868,9
marshmallow-code__apispec.8b421526.combine_module__lgye0kjr,locked,gpt-5-router,15,15,2.1609640474436813,10
marshmallow-code__apispec.8b421526.func_basic__u965ijba,success,gpt-5-router,17,17,2.1709505944546685,10
mahmoud__glom.fb3c4e76.func_pm_remove_wrapper__vxgq7xuw,locked,gpt-5-router,11,11,1.3609640474436813,10
marshmallow-code__apispec.8b421526.combine_module__ky7ajb2t,locked,gpt-5-router,12,12,2.1609640474436813,10
mahmoud__glom.fb3c4e76.func_basic__qiv51rg9,locked,gpt-5-router,7,7,1.8423709931771088,7
mahmoud__glom.fb3c4e76.func_pm_ctrl_shuffle__ljjvd4va,locked,gpt-5-router,6,5,2.321928094887362,5
mahmoud__glom.fb3c4e76.combine_file__ftzoc1o5,wandering,gpt-5-router,15,14,1.2776134368191154,11
mahmoud__glom.fb3c4e76.func_basic__p5ik9jjk,locked,gpt-5-router,8,8,2.4056390622295662,8
mahmoud__glom.fb3c4e76.func_basic__x0kh9qqd,locked,gpt-5-router,13,13,1.9609640474436814,10
mahmoud__glom.fb3c4e76.func_basic__nfnkmx43,locked,gpt-5-router,11,11,1.8464393446710154,10
mahmoud__glom.fb3c4e76.func_basic__8cey36gn,locked,gpt-5-router,7,7,0.5916727785823275,7
mahmoud__glom.fb3c4e76.func_pm_op_change__ia9zxlrd,locked,gpt-5-router,8,8,2.1556390622295662,8
mahmoud__glom.fb3c4e76.func_basic__b6gpt0tp,locked,gpt-5-router,9,9,2.197159723424149,9
mahmoud__glom.fb3c4e76.func_basic__e8jewgqa,locked,gpt-5-router,11,11,2.5219280948873624,10
mahmoud__boltons.3bfcfdd0.func_basic__o7m6kwlc,locked,gpt-5-router,15,14,1.5709505944546687,10
mahmoud__boltons.3bfcfdd0.func_basic__e2tpxxbw,locked,gpt-5-router,9,9,2.4193819456463714,9
mahmoud__boltons.3bfcfdd0.func_pm_remove_cond__rmebptxw,success,gpt-5-router,16,16,2.1709505944546685,10
mahmoud__boltons.3bfcfdd0.func_pm_remove_cond__cjhkz40y,success,gpt-5-router,11,11,2.1709505944546685,10
mahmoud__boltons.3bfcfdd0.func_pm_remove_assign__khqivdr6,locked,gpt-5-router,6,6,1.2516291673878228,6
mahmoud__boltons.3bfcfdd0.func_basic__0m3frif3,locked,gpt-5-router,10,10,1.7609640474436812,10
mahmoud__boltons.3bfcfdd0.func_basic__z2i530nb,locked,gpt-5-router,8,8,2.5,8
mahmoud__boltons.3bfcfdd0.combine_file__m5ynj1lo,locked,gpt-5-router,17,17,0.4689955935892812,10
mahmoud__boltons.3bfcfdd0.func_basic__oxzvpddf,locked,gpt-5-router,8,8,2.1556390622295662,8
mahmoud__boltons.3bfcfdd0.combine_file__jhbmv77y,locked,gpt-5-router,12,12,2.1709505944546685,10
mahmoud__boltons.3bfcfdd0.combine_file__fxj18toi,locked,gpt-5-router,20,20,2.1709505944546685,10
madzak__python-json-logger.5f85723f.func_pm_ctrl_shuffle__p79tpe0r,success,gpt-5-router,6,6,2.2516291673878226,6
madzak__python-json-logger.5f85723f.func_pm_ctrl_shuffle__w9v3wtqh,success,gpt-5-router,8,8,2.1556390622295662,8
madzak__python-json-logger.5f85723f.pr_160,locked,gpt-5-router,13,13,1.5709505944546687,10
madzak__python-json-logger.5f85723f.lm_rewrite__0cpjg0wz,locked,gpt-5-router,5,5,1.9219280948873623,5
madzak__python-json-logger.5f85723f.pr_164,locked,gpt-5-router,6,6,2.584962500721156,6
madzak__python-json-logger.5f85723f.func_basic__kix8zyeu,success,gpt-5-router,8,8,2.1556390622295662,8
madzak__python-json-logger.5f85723f.func_pm_class_rm_base__57l62wq9,success,gpt-5-router,7,7,2.5216406363433186,7
madzak__python-json-logger.5f85723f.combine_file__nh0rsii3,success,gpt-5-router,11,11,2.2464393446710154,10
madzak__python-json-logger.5f85723f.lm_rewrite__4ihpqcn1,locked,gpt-5-router,12,12,1.9609640474436814,10
madzak__python-json-logger.5f85723f.func_basic__4ehsxrzn,success,gpt-5-router,7,6,1.9182958340544893,6
luozhouyang__python-string-similarity.115acaac.lm_rewrite__fhcm2miv,success,gpt-5-router,6,6,1.9182958340544893,6
luozhouyang__python-string-similarity.115acaac.func_pm_remove_cond__gch4emzr,success,gpt-5-router,15,13,1.6858157091530304,11
luozhouyang__python-string-similarity.115acaac.func_pm_class_rm_funcs__ygpixehi,locked,gpt-5-router,8,8,0.9864267287308424,9
luozhouyang__python-string-similarity.115acaac.func_pm_remove_assign__r6sanfog,success,gpt-5-router,11,10,1.8464393446710154,10
luozhouyang__python-string-similarity.115acaac.func_pm_ctrl_shuffle__18ll59ds,success,gpt-5-router,11,11,2.046439344671015,10
luozhouyang__python-string-similarity.115acaac.func_basic__az8mpkt3,wandering,gpt-5-router,14,14,1.8262452584026092,13
luozhouyang__python-string-similarity.115acaac.func_basic__8rg4mwnx,success,gpt-5-router,14,13,1.617189572592715,11
lincolnloop__python-qrcode.456b01d4.lm_rewrite__q74fnmez,success,gpt-5-router,8,8,2.5,8
luozhouyang__python-string-similarity.115acaac.func_pm_class_rm_funcs__fdibz29l,success,gpt-5-router,8,8,1.9056390622295665,8
luozhouyang__python-string-similarity.115acaac.func_basic__rkija2xk,locked,gpt-5-router,9,9,2.197159723424149,9
luozhouyang__python-string-similarity.115acaac.func_basic__1ouyfaee,success,gpt-5-router,5,5,2.321928094887362,5
luozhouyang__python-string-similarity.115acaac.func_basic__0w9pdflo,success,gpt-5-router,7,7,2.5216406363433186,7
lincolnloop__python-qrcode.456b01d4.func_pm_remove_assign__nj3vt1gf,success,gpt-5-router,8,8,1.9056390622295665,8
lincolnloop__python-qrcode.456b01d4.combine_module__hy8emdd5,success,gpt-5-router,17,17,1.3609640474436813,10
lincolnloop__python-qrcode.456b01d4.func_pm_ctrl_shuffle__fgb5wowf,success,gpt-5-router,7,7,2.128085278891394,7
lincolnloop__python-qrcode.456b01d4.lm_rewrite__e55jp1n1,success,gpt-5-router,7,7,2.5216406363433186,7
lincolnloop__python-qrcode.456b01d4.combine_module__ihktjx6z,success,gpt-5-router,12,12,2.3709505944546687,10
lincolnloop__python-qrcode.456b01d4.func_basic__n9g67kfl,success,gpt-5-router,14,14,1.3221793455166666,11
lincolnloop__python-qrcode.456b01d4.func_basic__ju22if8k,success,gpt-5-router,16,16,1.7709505944546688,10
lincolnloop__python-qrcode.456b01d4.combine_file__3arti7hc,success,gpt-5-router,8,8,2.5,8
lincolnloop__python-qrcode.456b01d4.func_pm_ctrl_shuffle__1ximrwun,success,gpt-5-router,16,16,1.6854752972273346,10
lincolnloop__python-qrcode.456b01d4.combine_module__hqnw7pku,success,gpt-5-router,19,18,2.6464393446710153,10
life4__textdistance.c3aca916.func_pm_remove_cond__n4rk1ni5,success,gpt-5-router,16,16,1.867633890971212,11
life4__textdistance.c3aca916.lm_rewrite__gdrh4f70,success,gpt-5-router,10,10,2.321928094887362,10
life4__textdistance.c3aca916.func_basic__vhs8g7tn,success,gpt-5-router,10,10,2.446439344671015,10
life4__textdistance.c3aca916.func_pm_ctrl_shuffle__xxd63ulb,success,gpt-5-router,13,13,1.8464393446710154,10
life4__textdistance.c3aca916.func_pm_ctrl_shuffle__rkpdt52x,success,gpt-5-router,6,6,1.7924812503605778,6
life4__textdistance.c3aca916.func_pm_ctrl_shuffle__04per1d0,success,gpt-5-router,7,7,2.5216406363433186,7
life4__textdistance.c3aca916.func_pm_class_rm_base__qnm8tpb1,success,gpt-5-router,7,7,2.1280852788913944,7
life4__textdistance.c3aca916.func_basic__b7auivda,wandering,gpt-5-router,25,25,2.1709505944546685,10
life4__textdistance.c3aca916.func_basic__2xev6i2v,wandering,gpt-5-router,21,21,1.1567796494470395,10
life4__textdistance.c3aca916.combine_module__l94ysz88,locked,gpt-5-router,13,12,1.7219280948873623,10
life4__textdistance.c3aca916.combine_file__hxml8xjz,success,gpt-5-router,15,15,1.5709505944546687,10
lepture__mistune.bf54ef67.func_basic__lf8hhcei,locked,gpt-5-router,11,11,0.9219280948873623,10
lepture__mistune.bf54ef67.func_basic__ekgvbzt6,locked,gpt-5-router,16,16,0.8658566174572235,11
lepture__mistune.bf54ef67.func_basic__7cxi8j0n,locked,gpt-5-router,10,10,0.4689955935892812,10
lepture__mistune.bf54ef67.lm_rewrite__rvw5rmwe,success,gpt-5-router,17,17,1.8464393446710154,10
lepture__mistune.bf54ef67.func_basic__3fzo5zim,locked,gpt-5-router,8,8,1.061278124459133,8
lepture__mistune.bf54ef67.func_basic__30dbjsid,locked,gpt-5-router,8,8,2.5,8
lepture__mistune.bf54ef67.func_basic__v1665wre,locked,gpt-5-router,10,10,1.3567796494470397,10
lepture__mistune.bf54ef67.func_basic__u6x8cjm8,locked,gpt-5-router,9,9,0.5032583347756457,9
lepture__mistune.bf54ef67.combine_module__zs5u89p7,success,gpt-5-router,13,13,1.1567796494470395,10
lepture__mistune.bf54ef67.combine_file__sy9nxebp,success,gpt-5-router,20,20,2.0464393446710156,10
lepture__mistune.bf54ef67.combine_file__xyg3lz3y,wandering,gpt-5-router,19,19,1.570950594454669,10
kurtmckee__feedparser.cad965a3.func_basic__li8lyqq7,locked,gpt-5-router,8,8,1.061278124459133,8
kurtmckee__feedparser.cad965a3.func_basic__tqiusfxh,locked,gpt-5-router,16,16,2.121928094887362,10
kurtmckee__feedparser.cad965a3.combine_file__j3kr25wf,wandering,gpt-5-router,21,20,1.7219280948873623,10
kurtmckee__feedparser.cad965a3.func_basic__t01u614p,locked,gpt-5-router,22,22,1.8954618442383218,10
kurtmckee__feedparser.cad965a3.combine_file__cbri6w3d,wandering,gpt-5-router,28,28,1.4854752972273344,10
kurtmckee__feedparser.cad965a3.combine_module__ncm7nqvi,locked,gpt-5-router,20,20,2.446439344671015,10
kennethreitz__records.5941ab27.func_basic__rfh3a9cs,success,gpt-5-router,14,14,1.5709505944546687,10
kennethreitz__records.5941ab27.func_basic__phk60ccr,success,gpt-5-router,5,5,2.321928094887362,5
kurtmckee__feedparser.cad965a3.func_basic__6kfgz066,locked,gpt-5-router,13,13,2.121928094887362,10
kurtmckee__feedparser.cad965a3.func_basic__7uiqcf8z,wandering,gpt-5-router,19,18,-0.0,10
kurtmckee__feedparser.cad965a3.combine_module__080nbgs5,locked,gpt-5-router,12,12,2.7219280948873625,10
kurtmckee__feedparser.cad965a3.func_basic__fgpq0x2r,locked,gpt-5-router,8,8,2.4056390622295662,8
kennethreitz__records.5941ab27.func_pm_ctrl_shuffle__y5e5putc,success,gpt-5-router,9,9,1.4355205042826666,9
kurtmckee__feedparser.cad965a3.func_basic__dhg9ckas,locked,gpt-5-router,19,19,1.1567796494470395,10
