iid,sub_class,model,n_msgs,n_turns_extracted,tool_entropy_last10,n_tools_last10
r1chardj0n3s__parse.30da9e4f.func_pm_remove_cond__zl1k1hum,success,claude-3-7-sonnet-20250219,75,37,1.8464393446710154,10
marshmallow-code__marshmallow.9716fc62.func_pm_class_rm_base__46hay8sy,success,claude-3-7-sonnet-20250219,63,31,1.4854752972273344,10
conan-io__conan.86f29e13.func_pm_remove_assign__mrgcex1l,success,claude-3-7-sonnet-20250219,103,51,1.8464393446710154,10
paramiko__paramiko.23f92003.func_pm_ctrl_invert_if__oyhzxi03,success,claude-3-7-sonnet-20250219,39,19,1.4854752972273344,10
pydantic__pydantic.acb0f10f.func_pm_remove_wrapper__k4kdscfb,wandering,claude-3-7-sonnet-20250219,53,26,1.5709505944546687,10
sqlfluff__sqlfluff.50a1c4b6.func_pm_ctrl_shuffle__ltrj32oo,success,claude-3-7-sonnet-20250219,55,27,1.4854752972273344,10
conan-io__conan.86f29e13.func_pm_remove_assign__05lzni20,wandering,claude-3-7-sonnet-20250219,47,23,1.8464393446710154,10
scanny__python-pptx.278b47b1.func_pm_class_rm_base__mxaugr3h,success,claude-3-7-sonnet-20250219,51,25,1.3709505944546687,10
paramiko__paramiko.23f92003.func_pm_ctrl_shuffle__21w6nqvn,success,claude-3-7-sonnet-20250219,35,17,1.7609640474436812,10
pydantic__pydantic.acb0f10f.func_pm_ctrl_invert_if__0sddou60,success,claude-3-7-sonnet-20250219,137,68,1.7219280948873623,10
davidhalter__parso.338a5760.func_pm_class_rm_funcs__vmrthtb0,wandering,claude-3-7-sonnet-20250219,129,64,1.5219280948873621,10
marshmallow-code__webargs.dbde72fe.func_pm_class_rm_funcs__kzc99hn1,success,claude-3-7-sonnet-20250219,49,24,1.7609640474436812,10
python-openxml__python-docx.0cf6d71f.func_pm_ctrl_shuffle__foabkta9,success,claude-3-7-sonnet-20250219,31,15,1.7609640474436812,10
python-openxml__python-docx.0cf6d71f.func_pm_ctrl_shuffle__jupr4qrg,success,claude-3-7-sonnet-20250219,39,19,1.7609640474436812,10
getnikola__nikola.0f4c230e.func_pm_op_change__pm9nlsg1,success,claude-3-7-sonnet-20250219,37,18,1.7609640474436812,10
sqlfluff__sqlfluff.50a1c4b6.func_pm_ctrl_invert_if__jdq0zo1x,success,claude-3-7-sonnet-20250219,49,24,1.7609640474436812,10
sqlfluff__sqlfluff.50a1c4b6.func_pm_remove_loop__dnns4u15,success,claude-3-7-sonnet-20250219,77,38,1.8464393446710154,10
pyupio__safety.7654596b.func_pm_remove_assign__d80bm85t,wandering,claude-3-7-sonnet-20250219,49,24,1.7609640474436812,10
pyupio__safety.7654596b.func_pm_remove_assign__hfyy311l,success,claude-3-7-sonnet-20250219,51,25,1.7609640474436812,10
facelessuser__soupsieve.a8080d97.func_pm_remove_loop__0jaf0dl2,wandering,claude-3-7-sonnet-20250219,69,34,1.4854752972273344,10
pydicom__pydicom.7d361b3d.func_pm_ctrl_shuffle__t4448pcb,success,claude-3-7-sonnet-20250219,23,11,2.1219280948873624,10
sqlfluff__sqlfluff.50a1c4b6.func_pm_remove_loop__znzvyedh,success,claude-3-7-sonnet-20250219,73,36,1.9219280948873623,10
tobymao__sqlglot.036601ba.func_pm_ctrl_shuffle__ky2xy360,success,claude-3-7-sonnet-20250219,37,18,1.9609640474436814,10
paramiko__paramiko.23f92003.func_pm_remove_assign__csplmhnc,locked,claude-3-7-sonnet-20250219,49,24,1.8464393446710154,10
erikrose__parsimonious.0d3f5f93.func_pm_remove_assign__6drvm1sb,success,claude-3-7-sonnet-20250219,35,17,2.1219280948873624,10
pyupio__safety.7654596b.func_pm_op_change__lhgs1xog,success,claude-3-7-sonnet-20250219,97,48,1.9219280948873623,10
python-openxml__python-docx.0cf6d71f.func_pm_ctrl_shuffle__0lmknn3v,success,claude-3-7-sonnet-20250219,47,23,1.7609640474436812,10
Project-MONAI__MONAI.a09c1f08.func_pm_remove_assign__4iqnp8k6,wandering,claude-3-7-sonnet-20250219,49,24,1.7609640474436812,10
pydantic__pydantic.acb0f10f.func_pm_remove_cond__w4ia29v9,wandering,claude-3-7-sonnet-20250219,87,43,1.9609640474436814,10
facebookresearch__fvcore.a491d5b9.func_pm_remove_assign__jafbltn2,wandering,claude-3-7-sonnet-20250219,27,13,2.1219280948873624,10
sqlfluff__sqlfluff.50a1c4b6.func_pm_ctrl_shuffle__3pccik6x,success,claude-3-7-sonnet-20250219,59,29,1.9219280948873623,10
iterative__dvc.1d6ea681.func_pm_remove_assign__rywrfwzf,success,claude-3-7-sonnet-20250219,59,29,1.5219280948873621,10
python-jsonschema__jsonschema.93e0caa5.func_pm_ctrl_shuffle__0gkykv3v,success,claude-3-7-sonnet-20250219,41,20,1.7609640474436812,10
Project-MONAI__MONAI.a09c1f08.func_pm_ctrl_shuffle__bguswv2c,wandering,claude-3-7-sonnet-20250219,27,13,2.1219280948873624,10
pallets__click.fde47b4b.func_pm_ctrl_shuffle__teqgo9hh,success,claude-3-7-sonnet-20250219,75,37,1.7609640474436812,10
pydantic__pydantic.acb0f10f.func_pm_ctrl_shuffle__rho1efg1,success,claude-3-7-sonnet-20250219,67,33,0.7219280948873623,10
arrow-py__arrow.1d70d009.func_pm_ctrl_shuffle__qhyjkde3,success,claude-3-7-sonnet-20250219,47,23,2.1219280948873624,10
getnikola__nikola.0f4c230e.func_pm_ctrl_shuffle__wwwv4c2v,success,claude-3-7-sonnet-20250219,55,27,1.7609640474436812,10
pallets__jinja.ada0a9a6.func_pm_ctrl_shuffle__zle3mxgy,success,claude-3-7-sonnet-20250219,25,12,2.1219280948873624,10
conan-io__conan.86f29e13.func_pm_ctrl_invert_if__zvbjwzbd,success,claude-3-7-sonnet-20250219,79,39,1.8464393446710154,10
python-openxml__python-docx.0cf6d71f.func_pm_ctrl_shuffle__bfvrp72k,success,claude-3-7-sonnet-20250219,63,31,1.1567796494470395,10
agronholm__typeguard.b6a7e438.func_pm_ctrl_invert_if__vfwdslni,success,claude-3-7-sonnet-20250219,83,41,1.1567796494470395,10
tweepy__tweepy.91a41c6e.func_pm_remove_assign__5abllwl8,success,claude-3-7-sonnet-20250219,37,18,1.7609640474436812,10
alecthomas__voluptuous.a7a55f83.func_pm_ctrl_shuffle__ozwi5mpl,success,claude-3-7-sonnet-20250219,31,15,1.7609640474436812,10
davidhalter__parso.338a5760.func_pm_class_rm_base__3sflxmeq,success,claude-3-7-sonnet-20250219,41,20,2.246439344671016,10
getmoto__moto.694ce1f4.func_pm_remove_wrapper__7470mf9d,locked,claude-3-7-sonnet-20250219,75,37,2.1219280948873624,10
dask__dask.5f61e423.func_pm_remove_cond__c96gfsev,wandering,claude-3-7-sonnet-20250219,47,23,1.7609640474436812,10
iterative__dvc.1d6ea681.func_pm_remove_assign__i38dkpff,success,claude-3-7-sonnet-20250219,35,17,2.1219280948873624,10
python-openxml__python-docx.0cf6d71f.func_pm_ctrl_shuffle__2p89zv85,locked,claude-3-7-sonnet-20250219,63,31,1.4854752972273344,10
pyupio__safety.7654596b.func_pm_remove_cond__2gmmuwaw,success,claude-3-7-sonnet-20250219,65,32,1.5709505944546687,10
pallets__jinja.ada0a9a6.func_pm_ctrl_invert_if__b2z3ssy9,wandering,claude-3-7-sonnet-20250219,67,33,1.4854752972273344,10
python-jsonschema__jsonschema.93e0caa5.func_pm_ctrl_shuffle__qi4n33ab,success,claude-3-7-sonnet-20250219,39,19,2.1219280948873624,10
oauthlib__oauthlib.1fd52536.func_pm_class_rm_base__54eqdb06,success,claude-3-7-sonnet-20250219,47,23,1.5709505944546687,10
paramiko__paramiko.23f92003.func_pm_ctrl_shuffle__94h6o4lo,wandering,claude-3-7-sonnet-20250219,33,16,1.9219280948873623,10
sqlfluff__sqlfluff.50a1c4b6.func_pm_ctrl_invert_if__gf9peede,wandering,claude-3-7-sonnet-20250219,55,27,2.246439344671016,10
pydata__patsy.a5d16484.func_pm_remove_assign__m0tgcy70,success,claude-3-7-sonnet-20250219,27,13,2.1219280948873624,10
getnikola__nikola.0f4c230e.func_pm_remove_wrapper__rmdo0kkh,success,claude-3-7-sonnet-20250219,59,29,1.5709505944546687,10
davidhalter__parso.338a5760.func_pm_remove_assign__ljo8fjts,locked,claude-3-7-sonnet-20250219,31,15,2.1219280948873624,10
mozilla__bleach.73871d76.func_pm_class_rm_funcs__67fjbha4,locked,claude-3-7-sonnet-20250219,153,76,1.7219280948873623,10
mozilla__bleach.73871d76.func_pm_remove_assign__yvf1ouvg,success,claude-3-7-sonnet-20250219,55,27,2.246439344671016,10
pydata__patsy.a5d16484.func_pm_ctrl_shuffle__5g10wdzg,success,claude-3-7-sonnet-20250219,27,13,2.1219280948873624,10
tobymao__sqlglot.036601ba.func_pm_op_swap__vizdujjf,success,claude-3-7-sonnet-20250219,125,62,0.7219280948873623,10
agronholm__typeguard.b6a7e438.func_pm_remove_cond__6i7wd7yr,locked,claude-3-7-sonnet-20250219,57,28,1.4854752972273344,10
adrienverge__yamllint.8513d9b9.func_pm_remove_assign__js5jhsvq,success,claude-3-7-sonnet-20250219,33,16,1.4854752972273344,10
paramiko__paramiko.23f92003.func_pm_remove_cond__95r9zc62,wandering,claude-3-7-sonnet-20250219,115,57,1.7609640474436812,10
scanny__python-pptx.278b47b1.func_pm_ctrl_shuffle__nmlvf20z,success,claude-3-7-sonnet-20250219,65,32,1.9609640474436814,10
dask__dask.5f61e423.func_pm_op_change__m9wka77l,wandering,claude-3-7-sonnet-20250219,43,21,1.5219280948873621,10
cloudpipe__cloudpickle.6220b0ce.func_pm_remove_cond__avvfpi18,wandering,claude-3-7-sonnet-20250219,153,76,1.8954618442383218,10
facelessuser__soupsieve.a8080d97.func_pm_remove_assign__yz5us84a,success,claude-3-7-sonnet-20250219,39,19,2.1219280948873624,10
scanny__python-pptx.278b47b1.func_pm_ctrl_shuffle__pq6811yg,success,claude-3-7-sonnet-20250219,43,21,2.1219280948873624,10
pydata__patsy.a5d16484.func_pm_remove_assign__9q6ihrfy,success,claude-3-7-sonnet-20250219,33,16,1.7609640474436812,10
pydantic__pydantic.acb0f10f.func_pm_remove_assign__s8u13knn,wandering,claude-3-7-sonnet-20250219,125,62,1.7219280948873623,10
pallets__jinja.ada0a9a6.func_pm_ctrl_shuffle__l3wqpvmt,locked,claude-3-7-sonnet-20250219,33,16,1.7609640474436812,10
pydicom__pydicom.7d361b3d.func_pm_ctrl_shuffle__8fjdroda,success,claude-3-7-sonnet-20250219,31,15,1.7609640474436812,10
tweepy__tweepy.91a41c6e.func_pm_ctrl_invert_if__kid2ufxd,success,claude-3-7-sonnet-20250219,27,13,2.1219280948873624,10
scanny__python-pptx.278b47b1.func_pm_class_rm_funcs__7s5v1d7z,success,claude-3-7-sonnet-20250219,35,17,1.8464393446710154,10
pyupio__safety.7654596b.func_pm_remove_assign__y760ougt,success,claude-3-7-sonnet-20250219,49,24,1.8464393446710154,10
amueller__word_cloud.ec24191c.func_pm_ctrl_invert_if__z2yo3g9d,wandering,claude-3-7-sonnet-20250219,61,30,1.3709505944546687,10
tobymao__sqlglot.036601ba.func_pm_op_swap__52fwbtes,success,claude-3-7-sonnet-20250219,153,76,2.121928094887362,10
tobymao__sqlglot.036601ba.func_pm_remove_assign__gtf491mj,locked,claude-3-7-sonnet-20250219,61,30,2.1219280948873624,10
pallets__jinja.ada0a9a6.func_pm_ctrl_invert_if__9dqn79vh,success,claude-3-7-sonnet-20250219,59,29,1.3709505944546687,10
pydicom__pydicom.7d361b3d.func_pm_class_rm_funcs__w29zlq7y,success,claude-3-7-sonnet-20250219,35,17,1.7609640474436812,10
oauthlib__oauthlib.1fd52536.func_pm_remove_cond__bqhzby8v,success,claude-3-7-sonnet-20250219,55,27,1.7609640474436812,10
pydicom__pydicom.7d361b3d.func_pm_remove_cond__k03altig,success,claude-3-7-sonnet-20250219,69,34,1.4854752972273344,10
pydantic__pydantic.acb0f10f.func_pm_ctrl_invert_if__6ha2325y,wandering,claude-3-7-sonnet-20250219,53,26,1.7609640474436812,10
tobymao__sqlglot.036601ba.func_pm_ctrl_invert_if__g3kx2x7x,success,claude-3-7-sonnet-20250219,39,19,2.1219280948873624,10
Project-MONAI__MONAI.a09c1f08.func_pm_op_break_chains__dphm9yu4,locked,claude-3-7-sonnet-20250219,35,17,1.7609640474436812,10
pydata__patsy.a5d16484.func_pm_remove_assign__qd01rt9p,success,claude-3-7-sonnet-20250219,81,40,1.4854752972273344,10
tobymao__sqlglot.036601ba.func_pm_remove_assign__4i3p4bf1,success,claude-3-7-sonnet-20250219,39,19,1.9609640474436814,10
tobymao__sqlglot.036601ba.func_pm_remove_cond__rucftg9o,locked,claude-3-7-sonnet-20250219,57,28,1.5709505944546687,10
sqlfluff__sqlfluff.50a1c4b6.func_pm_op_swap__lx5krttv,success,claude-3-7-sonnet-20250219,81,40,1.5219280948873621,10
pallets__click.fde47b4b.func_pm_ctrl_invert_if__sgqaax37,wandering,claude-3-7-sonnet-20250219,109,54,1.5219280948873621,10
pydata__patsy.a5d16484.func_pm_ctrl_shuffle__7aiqyy54,wandering,claude-3-7-sonnet-20250219,85,42,1.9219280948873623,10
arrow-py__arrow.1d70d009.func_pm_ctrl_shuffle__ju0q8oac,success,claude-3-7-sonnet-20250219,33,16,2.1219280948873624,10
sqlfluff__sqlfluff.50a1c4b6.func_pm_ctrl_shuffle__2x2f5mhk,success,claude-3-7-sonnet-20250219,41,20,1.7609640474436812,10
mozilla__bleach.73871d76.func_pm_remove_cond__q2n7n4vh,success,claude-3-7-sonnet-20250219,39,19,1.4854752972273344,10
pallets__jinja.ada0a9a6.func_pm_remove_wrapper__1dzh4e43,locked,claude-3-7-sonnet-20250219,153,76,1.6854752972273346,10
getmoto__moto.694ce1f4.func_pm_op_change__9g3st1hg,success,claude-3-7-sonnet-20250219,37,18,1.8464393446710154,10
pydata__patsy.a5d16484.func_pm_ctrl_shuffle__4ae4can7,success,claude-3-7-sonnet-20250219,31,15,1.7609640474436812,10
python-jsonschema__jsonschema.93e0caa5.func_pm_ctrl_shuffle__r0f0jyss,success,claude-3-7-sonnet-20250219,45,22,1.4854752972273344,10
tobymao__sqlglot.036601ba.func_pm_ctrl_shuffle__51f0pecp,locked,claude-3-7-sonnet-20250219,107,53,1.9219280948873623,10
conan-io__conan.86f29e13.func_pm_ctrl_invert_if__aesld48n,wandering,claude-3-7-sonnet-20250219,39,19,1.9609640474436814,10
sqlfluff__sqlfluff.50a1c4b6.func_pm_remove_assign__u23glnnp,success,claude-3-7-sonnet-20250219,27,13,2.1219280948873624,10
tobymao__sqlglot.036601ba.func_pm_ctrl_shuffle__b2qscrls,success,claude-3-7-sonnet-20250219,43,21,2.1219280948873624,10
adrienverge__yamllint.8513d9b9.func_pm_remove_assign__lohkbna9,success,claude-3-7-sonnet-20250219,47,23,1.4854752972273344,10
getmoto__moto.694ce1f4.func_pm_op_change_const__asha3tg9,success,claude-3-7-sonnet-20250219,67,33,1.7609640474436812,10
getnikola__nikola.0f4c230e.func_pm_ctrl_shuffle__zfpm0k93,success,claude-3-7-sonnet-20250219,35,17,2.1219280948873624,10
tobymao__sqlglot.036601ba.func_pm_remove_assign__z58o1ygn,wandering,claude-3-7-sonnet-20250219,153,76,2.121928094887362,10
adrienverge__yamllint.8513d9b9.func_pm_remove_assign__nbuv0cfn,success,claude-3-7-sonnet-20250219,149,74,2.246439344671016,10
facebookresearch__fvcore.a491d5b9.func_pm_class_rm_base__iut2gnr4,locked,claude-3-7-sonnet-20250219,43,21,2.1219280948873624,10
python-openxml__python-docx.0cf6d71f.func_pm_remove_cond__porv66vy,success,claude-3-7-sonnet-20250219,31,15,1.7609640474436812,10
facebookresearch__fvcore.a491d5b9.func_pm_ctrl_invert_if__j5pnog91,locked,claude-3-7-sonnet-20250219,41,20,1.7609640474436812,10
pydantic__pydantic.acb0f10f.func_pm_remove_cond__8jb2rni7,wandering,claude-3-7-sonnet-20250219,117,58,0.9219280948873623,10
pydicom__pydicom.7d361b3d.func_pm_ctrl_invert_if__phni80ab,success,claude-3-7-sonnet-20250219,49,24,2.1219280948873624,10
pallets__jinja.ada0a9a6.func_pm_remove_cond__k2f64bbd,locked,claude-3-7-sonnet-20250219,153,76,1.9609640474436814,10
getmoto__moto.694ce1f4.func_pm_class_rm_funcs__658laair,wandering,claude-3-7-sonnet-20250219,73,36,1.7609640474436812,10
joke2k__faker.8b401a7d.func_pm_ctrl_invert_if__ozx7mk6p,success,claude-3-7-sonnet-20250219,43,21,1.7609640474436812,10
oauthlib__oauthlib.1fd52536.func_pm_class_rm_funcs__z3g2bzhr,locked,claude-3-7-sonnet-20250219,49,24,1.8464393446710154,10
jawah__charset_normalizer.1fdd6463.func_pm_ctrl_shuffle__3yzmbd52,success,claude-3-7-sonnet-20250219,23,11,2.1219280948873624,10
pyupio__safety.7654596b.func_pm_ctrl_shuffle__evbt02s1,locked,claude-3-7-sonnet-20250219,111,55,1.7609640474436812,10
pydantic__pydantic.acb0f10f.func_pm_remove_loop__53pp22j6,locked,claude-3-7-sonnet-20250219,63,31,2.246439344671016,10
tweepy__tweepy.91a41c6e.func_pm_class_rm_funcs__y6i8y1q9,wandering,claude-3-7-sonnet-20250219,101,50,2.1219280948873624,10
python-openxml__python-docx.0cf6d71f.func_pm_ctrl_shuffle__b1e5b0xm,success,claude-3-7-sonnet-20250219,39,19,1.7609640474436812,10
arrow-py__arrow.1d70d009.func_pm_op_break_chains__198tzvtl,success,claude-3-7-sonnet-20250219,65,32,1.9219280948873623,10
getnikola__nikola.0f4c230e.func_pm_remove_cond__p5w7ry36,wandering,claude-3-7-sonnet-20250219,65,32,1.3709505944546687,10
python-jsonschema__jsonschema.93e0caa5.func_pm_ctrl_shuffle__tnjei2ep,locked,claude-3-7-sonnet-20250219,39,19,1.7609640474436812,10
marshmallow-code__marshmallow.9716fc62.func_pm_ctrl_shuffle__j2za80ik,success,claude-3-7-sonnet-20250219,33,16,1.7609640474436812,10
getmoto__moto.694ce1f4.func_pm_remove_assign__zqfcyark,success,claude-3-7-sonnet-20250219,35,17,1.7609640474436812,10
joke2k__faker.8b401a7d.func_pm_remove_assign__1y54kxxg,success,claude-3-7-sonnet-20250219,57,28,2.1219280948873624,10
sqlfluff__sqlfluff.50a1c4b6.func_pm_ctrl_shuffle__rhmo4dvi,success,claude-3-7-sonnet-20250219,39,19,1.9219280948873623,10
jawah__charset_normalizer.1fdd6463.func_pm_remove_assign__qsmquzyi,success,claude-3-7-sonnet-20250219,65,32,1.7609640474436812,10
iterative__dvc.1d6ea681.func_pm_class_rm_funcs__uze5q3oz,success,claude-3-7-sonnet-20250219,61,30,1.4854752972273344,10
sqlfluff__sqlfluff.50a1c4b6.func_pm_ctrl_shuffle__nq4vd8lb,success,claude-3-7-sonnet-20250219,45,22,1.5219280948873621,10
dask__dask.5f61e423.func_pm_remove_cond__u1xutfs0,wandering,claude-3-7-sonnet-20250219,131,65,1.3709505944546687,10
msiemens__tinydb.10644a0e.func_pm_ctrl_invert_if__lhbtl99w,success,claude-3-7-sonnet-20250219,39,19,1.9219280948873623,10
scanny__python-pptx.278b47b1.func_pm_ctrl_shuffle__iurfgji1,success,claude-3-7-sonnet-20250219,49,24,1.7609640474436812,10
mozillazg__python-pinyin.e42dede5.func_pm_ctrl_invert_if__f9wjghc8,success,claude-3-7-sonnet-20250219,57,28,1.9609640474436814,10
pyupio__safety.7654596b.func_pm_remove_cond__czha2h2j,wandering,claude-3-7-sonnet-20250219,71,35,1.8464393446710154,10
davidhalter__parso.338a5760.func_pm_op_change_const__u2qheea1,wandering,claude-3-7-sonnet-20250219,59,29,2.1219280948873624,10
python-openxml__python-docx.0cf6d71f.func_pm_ctrl_shuffle__un2xey56,wandering,claude-3-7-sonnet-20250219,115,57,2.1219280948873624,10
mozilla__bleach.73871d76.func_pm_remove_cond__s1omz0wz,wandering,claude-3-7-sonnet-20250219,103,51,1.4854752972273344,10
davidhalter__parso.338a5760.func_pm_remove_assign__dde40l2j,wandering,claude-3-7-sonnet-20250219,61,30,1.3709505944546687,10
arrow-py__arrow.1d70d009.func_pm_ctrl_shuffle__wisn8mb8,success,claude-3-7-sonnet-20250219,51,25,1.9219280948873623,10
getnikola__nikola.0f4c230e.func_pm_remove_assign__bylq1trh,success,claude-3-7-sonnet-20250219,29,14,1.7609640474436812,10
tobymao__sqlglot.036601ba.func_pm_remove_assign__4k7my5vm,success,claude-3-7-sonnet-20250219,49,24,1.7609640474436812,10
jawah__charset_normalizer.1fdd6463.func_pm_remove_cond__e89tvq3j,success,claude-3-7-sonnet-20250219,51,25,1.4854752972273344,10
encode__starlette.db5063c2.func_pm_remove_assign__4bzndzzj,success,claude-3-7-sonnet-20250219,41,20,1.8464393446710154,10
getnikola__nikola.0f4c230e.func_pm_class_rm_funcs__kj64epoa,success,claude-3-7-sonnet-20250219,63,31,1.7609640474436812,10
kayak__pypika.1c9646f0.func_pm_class_rm_funcs__muwfrdsf,success,claude-3-7-sonnet-20250219,53,26,2.170950594454669,10
conan-io__conan.86f29e13.func_pm_remove_assign__vt2zl5s6,success,claude-3-7-sonnet-20250219,31,15,1.8464393446710154,10
pydantic__pydantic.acb0f10f.func_pm_op_swap__ar9jt03f,success,claude-3-7-sonnet-20250219,61,30,2.246439344671016,10
marshmallow-code__marshmallow.9716fc62.func_pm_ctrl_shuffle__ig827qbg,success,claude-3-7-sonnet-20250219,29,14,2.1219280948873624,10
Project-MONAI__MONAI.a09c1f08.func_pm_op_break_chains__vvypqmcj,wandering,claude-3-7-sonnet-20250219,43,21,1.7609640474436812,10
tobymao__sqlglot.036601ba.func_pm_op_swap__sjuhf6dv,success,claude-3-7-sonnet-20250219,31,15,2.1219280948873624,10
getnikola__nikola.0f4c230e.func_pm_remove_wrapper__s2zjur6q,locked,claude-3-7-sonnet-20250219,63,31,1.4854752972273344,10
dask__dask.5f61e423.func_pm_remove_assign__au2xmn2y,locked,claude-3-7-sonnet-20250219,25,12,2.1219280948873624,10
getnikola__nikola.0f4c230e.func_pm_remove_cond__fhhep2sm,locked,claude-3-7-sonnet-20250219,77,38,1.4854752972273344,10
sqlfluff__sqlfluff.50a1c4b6.func_pm_ctrl_invert_if__yg8j6ip8,success,claude-3-7-sonnet-20250219,47,23,1.4854752972273344,10
facebookresearch__fvcore.a491d5b9.func_pm_remove_assign__1tndjqhg,locked,claude-3-7-sonnet-20250219,23,11,2.1219280948873624,10
python-openxml__python-docx.0cf6d71f.func_pm_ctrl_shuffle__g0nt0es4,success,claude-3-7-sonnet-20250219,77,38,2.1219280948873624,10
scanny__python-pptx.278b47b1.func_pm_class_rm_funcs__v2svdork,success,claude-3-7-sonnet-20250219,45,22,1.7609640474436812,10
pallets__jinja.ada0a9a6.func_pm_remove_cond__dc8gu7lr,wandering,claude-3-7-sonnet-20250219,109,54,0.7219280948873623,10
pallets__jinja.ada0a9a6.func_pm_ctrl_invert_if__ll021u5g,success,claude-3-7-sonnet-20250219,67,33,1.5709505944546687,10
alecthomas__voluptuous.a7a55f83.func_pm_remove_cond__0u8xqkrh,wandering,claude-3-7-sonnet-20250219,75,37,1.8464393446710154,10
agronholm__typeguard.b6a7e438.func_pm_ctrl_shuffle__2h0zx6a3,success,claude-3-7-sonnet-20250219,31,15,1.7609640474436812,10
pydantic__pydantic.acb0f10f.func_pm_remove_assign__5rmx3ty6,success,claude-3-7-sonnet-20250219,27,13,1.5709505944546687,10
pallets__jinja.ada0a9a6.func_pm_class_rm_funcs__7nd6zt29,wandering,claude-3-7-sonnet-20250219,153,76,1.7219280948873623,10
encode__starlette.db5063c2.func_pm_ctrl_shuffle__s0kfd50c,success,claude-3-7-sonnet-20250219,33,16,1.7609640474436812,10
conan-io__conan.86f29e13.func_pm_class_rm_funcs__t6mg2vc7,wandering,claude-3-7-sonnet-20250219,65,32,2.170950594454669,10
arrow-py__arrow.1d70d009.func_pm_op_change_const__tc13tq21,success,claude-3-7-sonnet-20250219,45,22,1.1567796494470395,10
pydata__patsy.a5d16484.func_pm_remove_assign__3sslutf4,success,claude-3-7-sonnet-20250219,25,12,2.1219280948873624,10
sqlfluff__sqlfluff.50a1c4b6.func_pm_remove_cond__7prruemt,wandering,claude-3-7-sonnet-20250219,63,31,1.8464393446710154,10
pyupio__safety.7654596b.func_pm_ctrl_shuffle__dh3sk1gc,success,claude-3-7-sonnet-20250219,29,14,1.8464393446710154,10
facebookresearch__fvcore.a491d5b9.func_pm_class_rm_funcs__c92rej6l,locked,claude-3-7-sonnet-20250219,45,22,1.5709505944546687,10
tobymao__sqlglot.036601ba.func_pm_op_swap__j4z7mbu1,success,claude-3-7-sonnet-20250219,37,18,2.1219280948873624,10
iterative__dvc.1d6ea681.func_pm_ctrl_invert_if__4eswwwfp,wandering,claude-3-7-sonnet-20250219,153,76,1.7609640474436812,10
scanny__python-pptx.278b47b1.func_pm_ctrl_shuffle__1fyozo8r,success,claude-3-7-sonnet-20250219,59,29,1.7609640474436812,10
agronholm__typeguard.b6a7e438.func_pm_ctrl_shuffle__rw2zp0ga,success,claude-3-7-sonnet-20250219,67,33,2.1219280948873624,10
tobymao__sqlglot.036601ba.func_pm_ctrl_invert_if__5liurb5h,success,claude-3-7-sonnet-20250219,29,14,1.7609640474436812,10
iterative__dvc.1d6ea681.func_pm_ctrl_shuffle__txd7ha09,success,claude-3-7-sonnet-20250219,43,21,1.7609640474436812,10
pydata__patsy.a5d16484.func_pm_ctrl_invert_if__6fbsnvff,success,claude-3-7-sonnet-20250219,33,16,1.1567796494470395,10
sqlfluff__sqlfluff.50a1c4b6.func_pm_ctrl_shuffle__1pnu0wh5,success,claude-3-7-sonnet-20250219,43,21,1.9219280948873623,10
encode__starlette.db5063c2.func_pm_class_rm_funcs__2oigdel9,wandering,claude-3-7-sonnet-20250219,47,23,1.5219280948873621,10
cloudpipe__cloudpickle.6220b0ce.func_pm_remove_cond__1moh4dzw,wandering,claude-3-7-sonnet-20250219,143,71,1.7609640474436812,10
davidhalter__parso.338a5760.func_pm_remove_loop__7q8tvusd,success,claude-3-7-sonnet-20250219,53,26,1.7609640474436812,10
pydicom__pydicom.7d361b3d.func_pm_remove_assign__1exheguy,success,claude-3-7-sonnet-20250219,69,34,1.4854752972273344,10
prettytable__prettytable.ca90b055.func_pm_op_change_const__sglm9rb0,locked,claude-3-7-sonnet-20250219,73,36,2.1219280948873624,10
r1chardj0n3s__parse.30da9e4f.func_pm_ctrl_shuffle__vtkqbq85,success,claude-3-7-sonnet-20250219,33,16,1.7609640474436812,10
pallets__click.fde47b4b.func_pm_ctrl_shuffle__kz1eskkl,success,claude-3-7-sonnet-20250219,43,21,1.7609640474436812,10
Project-MONAI__MONAI.a09c1f08.func_pm_class_rm_funcs__wloeo3nh,wandering,claude-3-7-sonnet-20250219,49,24,1.7609640474436812,10
python-jsonschema__jsonschema.93e0caa5.func_pm_ctrl_shuffle__ser49jnl,wandering,claude-3-7-sonnet-20250219,103,51,1.4854752972273344,10
pydicom__pydicom.7d361b3d.func_pm_ctrl_shuffle__7s17evwy,wandering,claude-3-7-sonnet-20250219,37,18,2.1219280948873624,10
scanny__python-pptx.278b47b1.func_pm_ctrl_shuffle__e1dxbd26,success,claude-3-7-sonnet-20250219,29,14,2.1219280948873624,10
scanny__python-pptx.278b47b1.func_pm_ctrl_shuffle__0pzzgh8w,success,claude-3-7-sonnet-20250219,29,14,2.1219280948873624,10
python-openxml__python-docx.0cf6d71f.func_pm_ctrl_shuffle__i32tgaeq,success,claude-3-7-sonnet-20250219,45,22,1.7609640474436812,10
scanny__python-pptx.278b47b1.func_pm_ctrl_shuffle__vzph135z,success,claude-3-7-sonnet-20250219,29,14,2.1219280948873624,10
